,euctr_id,euctr_results_inc,euctr_results_date,nct_id,ctgov_results_inc,ctgov_results_date,journal_results_inc,journal_pub_date,min_date,max_date,results_counts,earliest_results,Unnamed: 0,eudract_number,final_date,inferred,euctr_days,ctg_days,pub_days
110,2006-002152-16,0,,,0,,1,2015-03-12,2015-03-12,2015-03-12,1,Journal,16819,2006-002152-16,2010-07-15,1,3802.0,3802.0,1701.0
111,2007-004675-19,1,2019-05-29,NCT00680641,0,,0,,2019-05-29,2019-05-29,1,EUCTR,4981,2007-004675-19,2011-02-18,0,3022.0,3584.0,3584.0
112,2012-005232-29,0,,NCT02069990,0,,1,2016-10-07,2016-10-07,2016-10-07,1,Journal,22012,2012-005232-29,2013-10-30,0,2599.0,2599.0,1073.0
113,2013-000176-15,1,2018-01-03,NCT01868061,0,,1,2016-09-05,2016-09-05,2018-01-03,2,Journal,538,2013-000176-15,2017-01-03,0,365.0,1438.0,-120.0
114,2005-000508-15,1,2017-01-05,,0,,0,,2017-01-05,2017-01-05,1,EUCTR,17282,2005-000508-15,2006-11-07,0,3712.0,5148.0,5148.0
115,2012-005796-14,0,,,0,,1,2016-03-03,2016-03-03,2016-03-03,1,Journal,20758,2012-005796-14,2015-09-29,0,1900.0,1900.0,156.0
116,2017-001607-80,1,2018-01-05,NCT00937404,1,2018-12-17,1,2016-02-09,2016-02-09,2018-12-17,3,Journal,16650,2017-001607-80,2009-11-13,0,2975.0,3321.0,2279.0
117,2007-007958-54,0,,,0,,1,2014-03-27,2014-03-27,2014-03-27,1,Journal,4923,2007-007958-54,2010-04-27,1,3881.0,3881.0,1430.0
118,2015-000458-40,1,2019-02-14,NCT02733367,1,2019-09-13,1,2020-09-04,2019-02-14,2020-09-04,3,EUCTR,22966,2015-000458-40,2018-08-10,0,188.0,399.0,756.0
119,2011-004886-34,0,,NCT01622569,1,2018-12-05,1,2018-11-27,2018-11-27,2018-12-05,2,Journal,24454,2011-004886-34,2015-10-01,0,1898.0,1161.0,1153.0
120,2010-024557-36,1,2019-10-16,NCT01364090,1,2017-10-08,1,2017-06-16,2017-06-16,2019-10-16,3,Journal,11588,2010-024557-36,2015-10-20,0,1457.0,719.0,605.0
121,2007-000502-70,1,2020-02-09,NCT00762632,0,,0,,2020-02-09,2020-02-09,1,EUCTR,4746,2007-000502-70,2012-06-29,0,2781.0,3087.0,3087.0
122,2013-005628-41,1,2018-04-29,NCT02174432,1,2020-10-23,0,,2018-04-29,2020-10-23,2,EUCTR,21629,2013-005628-41,2017-07-26,0,277.0,1185.0,1234.0
123,2007-001465-14,1,2016-03-30,,0,,0,,2016-03-30,2016-03-30,1,EUCTR,21284,2007-001465-14,2007-06-22,0,3204.0,4921.0,4921.0
124,2009-017438-32,1,2017-01-04,NCT01052194,0,,1,2014-11-10,2014-11-10,2017-01-04,2,Journal,9360,2009-017438-32,2011-07-11,0,2004.0,3441.0,1218.0
125,2010-018776-24,1,2016-12-10,NCT01096732,0,,0,,2016-12-10,2016-12-10,1,EUCTR,560,2010-018776-24,2012-08-10,0,1583.0,3045.0,3045.0
126,2015-003625-34,1,2018-08-04,NCT02719171,1,2019-05-30,0,,2018-08-04,2019-05-30,2,EUCTR,437,2015-003625-34,2017-08-24,0,345.0,644.0,1205.0
127,2011-004237-14,1,2016-06-09,NCT01492426,1,2016-06-03,1,2016-03-28,2016-03-28,2016-06-09,3,Journal,14065,2011-004237-14,2014-03-20,0,812.0,806.0,739.0
128,2009-018172-33,1,2016-04-06,NCT01121835,0,,1,2015-04-11,2015-04-11,2016-04-06,2,Journal,25655,2009-018172-33,2012-03-15,0,1483.0,3193.0,1122.0
129,2008-008211-26,0,,,0,,1,2020-03-06,2020-03-06,2020-03-06,1,Journal,23071,2008-008211-26,2014-05-20,1,2397.0,2397.0,2117.0
130,2008-004849-28,1,2015-07-26,NCT00884000,0,,0,,2015-07-26,2015-07-26,1,EUCTR,27016,2008-004849-28,2012-06-25,0,1126.0,3091.0,3091.0
131,2013-003587-31,1,2017-09-21,NCT01986855,1,2017-10-04,1,2017-11-20,2017-09-21,2017-11-20,3,EUCTR,4305,2013-003587-31,2016-09-28,0,358.0,371.0,418.0
132,2014-000340-15,1,2016-03-30,NCT02211846,0,,1,2019-10-22,2016-03-30,2019-10-22,2,EUCTR,13079,2014-000340-15,2015-09-21,0,191.0,1908.0,1492.0
133,2007-005365-35,0,,NCT00794326,0,,1,2020-05-19,2020-05-19,2020-05-19,1,Journal,8779,2007-005365-35,2014-10-28,0,2236.0,2236.0,2030.0
134,2008-004499-38,1,2016-09-28,NCT01278004,0,,0,,2016-09-28,2016-09-28,1,EUCTR,14888,2008-004499-38,2014-07-09,0,812.0,2347.0,2347.0
135,2008-001835-36,1,2019-01-20,,0,,1,2020-10-08,2019-01-20,2020-10-08,2,EUCTR,23013,2008-001835-36,2010-06-23,0,3133.0,3824.0,3760.0
136,2014-003896-41,1,2019-08-23,NCT02334306,1,2019-03-19,1,2019-11-12,2019-03-19,2019-11-12,3,CTgov,22492,2014-003896-41,2018-08-13,0,375.0,218.0,456.0
